date,price,type,bedrooms
12/23/2011,452000,house,4
12/23/2011,480000,house,4
12/23/2011,500000,house,3
12/23/2011,571000,house,3
12/24/2011,310000,house,2
12/24/2011,369950,house,3
12/24/2011,385000,house,3
12/24/2011,394000,house,3
12/24/2011,400000,house,4
12/24/2011,400000,house,3
12/24/2011,400000,house,3
12/24/2011,400000,house,3
12/24/2011,499000,house,4
12/24/2011,1057500,house,4
1/6/2012,342500,house,3
1/6/2012,450000,house,4
1/7/2012,420000,house,3
1/8/2012,394000,house,3
1/8/2012,410000,house,4
1/8/2012,411500,house,3
1/8/2012,560000,house,4
1/9/2012,383000,house,3
1/9/2012,385000,house,3
1/9/2012,420000,house,2
1/10/2012,585000,house,4
1/10/2012,590000,house,4
1/12/2012,340500,house,3
1/12/2012,410000,house,3
1/12/2012,418000,house,3
1/12/2012,470000,house,4
1/12/2012,609950,house,4
1/12/2012,630000,house,4
1/12/2012,750000,house,5
1/13/2012,420000,house,3
1/13/2012,515000,house,4
1/13/2012,637000,house,4
1/14/2012,315000,house,3
1/14/2012,400000,house,3
1/14/2012,439000,house,4
1/15/2012,330000,house,3
1/15/2012,350000,house,3
1/15/2012,440000,house,3
1/15/2012,462500,house,4
1/15/2012,465000,house,2
1/15/2012,589000,house,3
1/15/2012,640000,house,4
1/16/2012,319950,house,3
1/16/2012,456000,house,3
1/16/2012,585000,house,4
1/19/2012,400000,house,3
1/19/2012,615000,house,4
1/19/2012,688889,house,4
1/20/2012,392000,house,3
1/20/2012,425000,house,3
1/20/2012,465000,house,4
1/20/2012,500000,house,3
1/20/2012,1150000,house,4
1/21/2012,570000,house,4
1/22/2012,308000,house,3
1/22/2012,512000,house,4
1/22/2012,575000,house,3
1/23/2012,315000,house,3
1/23/2012,317500,house,3
1/23/2012,335000,house,3
1/23/2012,360000,house,3
1/23/2012,380000,house,4
1/23/2012,394000,house,3
1/23/2012,570000,house,4
1/23/2012,890000,house,3
1/27/2012,327000,house,3
1/27/2012,350500,house,3
1/27/2012,475000,house,4
1/27/2012,750000,house,5
1/27/2012,2100000,house,4
1/28/2012,325000,house,3
1/28/2012,365000,house,3
1/28/2012,441000,house,4
1/28/2012,450000,house,3
1/28/2012,620000,house,4
1/29/2012,341000,house,3
1/29/2012,395000,house,3
1/29/2012,550000,house,3
1/29/2012,612000,house,4
1/30/2012,450000,house,3
1/30/2012,467500,house,3
1/30/2012,476000,house,3
1/30/2012,525000,house,4
1/30/2012,601000,house,4
1/31/2012,440000,house,3
1/31/2012,495000,house,3
2/2/2012,500000,house,5
2/2/2012,622500,house,4
2/3/2012,335000,house,2
2/3/2012,339000,house,3
2/3/2012,362000,house,3
2/3/2012,390000,house,4
2/3/2012,412000,house,3
2/3/2012,420000,house,4
2/3/2012,485000,house,2
2/3/2012,605000,house,3
2/4/2012,370000,house,3
2/4/2012,440000,house,4
2/4/2012,530000,house,4
2/5/2012,340000,house,3
2/5/2012,435000,house,4
2/5/2012,438000,house,4
2/5/2012,495000,house,4
2/5/2012,620000,house,4
2/6/2012,339000,house,3
2/6/2012,500000,house,5
2/6/2012,510000,house,4
2/6/2012,535000,house,4
2/7/2012,512000,house,3
2/9/2012,395000,house,4
2/9/2012,520000,house,4
2/9/2012,545000,house,4
2/9/2012,715000,house,4
2/10/2012,335000,house,3
2/10/2012,400000,house,3
2/10/2012,468000,house,4
2/10/2012,510000,house,4
2/11/2012,100000,house,3
2/11/2012,380000,house,3
2/11/2012,385000,house,3
2/11/2012,407000,house,3
2/11/2012,410000,house,4
2/11/2012,480000,house,4
2/11/2012,535000,house,4
2/11/2012,670000,house,4
2/12/2012,347500,house,3
2/12/2012,380000,house,3
2/12/2012,400000,house,3
2/12/2012,405000,house,4
2/12/2012,408000,house,4
2/12/2012,485000,house,4
2/13/2012,362000,house,3
2/13/2012,435000,house,4
2/13/2012,450000,house,4
2/13/2012,880000,house,4
2/14/2012,456000,house,3
2/16/2012,355000,house,3
2/16/2012,426500,house,4
2/16/2012,490000,house,4
2/16/2012,602000,house,4
2/17/2012,355000,house,3
2/17/2012,380000,house,3
2/17/2012,410000,house,4
2/17/2012,449000,house,4
2/17/2012,486000,house,4
2/17/2012,490000,house,4
2/17/2012,490000,house,3
2/17/2012,560000,house,5
2/18/2012,513000,house,4
2/18/2012,522000,house,3
2/19/2012,370000,house,3
2/19/2012,405000,house,4
2/19/2012,539000,house,5
2/19/2012,560000,house,4
2/19/2012,627500,house,3
2/20/2012,405000,house,4
2/20/2012,410000,house,3
2/20/2012,671000,house,4
2/21/2012,690000,house,4
2/23/2012,362000,house,3
2/23/2012,379950,house,3
2/23/2012,391000,house,4
2/23/2012,480000,house,4
2/23/2012,495000,house,3
2/23/2012,630000,house,4
2/24/2012,360000,house,3
2/24/2012,477000,house,4
2/24/2012,750000,house,5
2/25/2012,1580000,house,4
2/26/2012,390000,house,3
2/26/2012,401500,house,3
2/26/2012,440000,house,5
2/26/2012,490000,house,5
2/26/2012,580000,house,4
2/26/2012,720000,house,5
2/27/2012,476000,house,4
2/28/2012,400000,house,3
3/2/2012,460000,house,4
3/2/2012,485000,house,4
3/2/2012,505000,house,4
3/2/2012,780000,house,4
3/3/2012,283000,house,3
3/3/2012,325000,house,3
3/3/2012,360000,house,3
3/3/2012,389000,house,3
3/3/2012,395000,house,3
3/3/2012,805000,house,4
3/4/2012,347500,house,3
3/4/2012,390000,house,4
3/4/2012,390000,house,3
3/4/2012,423500,house,4
3/4/2012,430000,house,4
3/4/2012,465000,house,5
3/4/2012,484500,house,3
3/5/2012,399000,house,3
3/5/2012,501500,house,4
3/5/2012,550000,house,3
3/6/2012,309950,house,3
3/6/2012,351126,house,2
3/6/2012,425000,house,5
3/6/2012,435000,house,4
3/6/2012,447500,house,3
3/6/2012,468000,house,4
3/6/2012,560000,house,3
3/6/2012,560000,house,4
3/6/2012,608000,house,4
3/6/2012,615000,house,3
3/6/2012,620000,house,4
3/7/2012,417000,house,3
3/7/2012,454000,house,3
3/10/2012,398000,house,3
3/10/2012,435000,house,4
3/10/2012,455000,house,3
3/10/2012,475000,house,4
3/10/2012,475000,house,3
3/10/2012,478000,house,4
3/10/2012,490000,house,4
3/10/2012,647000,house,4
3/10/2012,675000,house,3
3/11/2012,308000,house,2
3/11/2012,365000,house,3
3/11/2012,376000,house,3
3/11/2012,398000,house,3
3/11/2012,550000,house,3
3/11/2012,759000,house,4
3/11/2012,759000,house,4
3/12/2012,359950,house,3
3/12/2012,375000,house,4
3/12/2012,380000,house,4
3/12/2012,440000,house,3
3/12/2012,445000,house,4
3/12/2012,480000,house,3
3/12/2012,517500,house,3
3/13/2012,295000,house,3
3/13/2012,335000,house,3
3/13/2012,353000,house,3
3/13/2012,453500,house,4
3/13/2012,715000,house,4
3/13/2012,858000,house,5
3/14/2012,500000,house,5
3/16/2012,392500,house,3
3/16/2012,397500,house,3
3/16/2012,690000,house,5
3/17/2012,352000,house,3
3/17/2012,390000,house,3
3/17/2012,420000,house,3
3/17/2012,437500,house,4
3/17/2012,461000,house,4
3/17/2012,511000,house,4
